cp_measure_feature,cp_measure_module,cellprofiler_equivalent,cellprofiler_module,naming_rule,confidence,rsi,rsi_category,correction_strategy,note
Location_CenterMassIntensity_X,measureobjectintensity.get_intensity,Location_CenterMassIntensity_X_{image},MeasureObjectIntensity,{cp_name}_{image}  (append channel/image name),medium,0.587861,moderate,convert_to_distance_from_centroid,
Location_MaxIntensity_X,measureobjectintensity.get_intensity,Location_MaxIntensity_X_{image},MeasureObjectIntensity,{cp_name}_{image}  (append channel/image name),medium,0.628526,moderate,convert_to_distance_from_centroid,
NormalizedMoment_0_2,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,0.572697,moderate,moment_rotation_correction,
NormalizedMoment_0_3,measureobjectsizeshape,,MeasureObjectSizeShape,,medium,0.684848,moderate,moment_rotation_correction,
Orientation,measureobjectsizeshape.get_sizeshape,AreaShape_Orientation,MeasureObjectSizeShape,AreaShape_{cp_name}  (no channel needed — shape is image-independent),high,0.395961,moderate,,
RadialDistribution_MeanFrac_1of4,measureobjectintensitydistribution,RadialDistribution_MeanFrac_1of4_{image},MeasureObjectIntensityDistribution,,medium,0.119176,moderate,,
RadialDistribution_RadialCV_1of4,measureobjectintensitydistribution,RadialDistribution_RadialCV_1of4_{image},MeasureObjectIntensityDistribution,,medium,0.124249,moderate,,
RadialDistribution_ZernikeMagnitude_1_1,measureobjectintensitydistribution,RadialDistribution_ZernikeMagnitude_1_1_{image},MeasureObjectIntensityDistribution,,medium,0.407809,moderate,,
RadialDistribution_ZernikeMagnitude_3_1,measureobjectintensitydistribution,RadialDistribution_ZernikeMagnitude_3_1_{image},MeasureObjectIntensityDistribution,,medium,0.327735,moderate,,
RadialDistribution_ZernikeMagnitude_3_3,measureobjectintensitydistribution,RadialDistribution_ZernikeMagnitude_3_3_{image},MeasureObjectIntensityDistribution,,medium,0.651066,moderate,,
